Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0201,2,0.1uf,
"C3, C6, C8, C9",0201,4,2.2uf,
C4,0201,1,1uF,
C5,0201,1,1nF,
C7,0201,1,0.01uF,
"D1, D2",0603,2,LED,
"D3, D4",D_MiniMELF_Handsoldering,2,BZV55B3V0,
J1,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,Conn_01x24_Socket,
"J2, J3",PinSocket_1x02_P2.54mm_Horizontal,2,Screw_Terminal_01x02,
J4,PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x05_Pin,
J5,SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm,1,Screw_Terminal_01x02,
"Q1, Q2",TO-92_Inline,2,S8050,
"R1, R2",0805,2,0.16,
"R3, R6",0805,2,10k,
R4,0805,1,1k,
R7,0805,1,100k,
"R8, R9",0805,2,12k,
SW1,SW_SPST_FSMSM,1,reset,
SW2,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_DPST_x2,
"U1, U2",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,2,DRV8872DDA,
U3,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,ICM-20602,
U4,SOT-23-5,1,AP2112K-1.2,
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,3.3v,
U6,ESP32-WROVER-E,1,ESP32-WROVER-E,
U7,SOT-23-5,1,TC2014-2.8VxCTTR,
